annual_income,loan_purpose,loan_amount,interest_rate
45000,debt_consolidation,15000,19.03
70000,debt_consolidation,21600,13.59
65000,credit_card,10000,7.34
38500,debt_consolidation,18000,14.07
60000,debt_consolidation,3500,7.34
60000,credit_card,10000,23.88
35000,debt_consolidation,12800,23.88
90000,debt_consolidation,27000,9.93
50000,credit_card,10000,11.99
62000,credit_card,4800,10.41
25252,debt_consolidation,8000,19.03
57000,credit_card,11600,23.88
75000,credit_card,20000,5.31
85000,debt_consolidation,17000,16.01
63700,home_improvement,20000,7.34
54000,credit_card,13000,19.42
60000,home_improvement,5000,13.58
51800,debt_consolidation,7000,7.97
55000,credit_card,15000,5.31
55000,debt_consolidation,9000,9.44
62400,credit_card,34000,16.01
91200,debt_consolidation,30000,10.41
100000,debt_consolidation,22325,19.03
70000,debt_consolidation,28000,17.09
54200,debt_consolidation,21000,25.81
18000,debt_consolidation,1500,10.91
75000,debt_consolidation,11200,18.45
62100,debt_consolidation,13550,16.01
20000,debt_consolidation,10000,29.69
156000,home_improvement,15000,18.45
42000,credit_card,8000,6.72
75000,debt_consolidation,8000,11.99
125000,home_improvement,20000,14.07
85000,debt_consolidation,20000,6.08
72828,debt_consolidation,4150,13.58
109000,debt_consolidation,30000,12.61
50000,credit_card,4000,14.08
75000,credit_card,30000,25.81
66150,debt_consolidation,25000,15.05
160000,debt_consolidation,35000,20
32000,home_improvement,7000,9.44
150000,debt_consolidation,35000,16.01
175000,home_improvement,36000,5.32
72150,debt_consolidation,36000,7.34
52000,debt_consolidation,10000,7.97
187000,credit_card,10000,11.98
125000,debt_consolidation,27250,19.42
49500,credit_card,15000,15.04
108000,home_improvement,25000,9.44
55000,credit_card,9000,20
30000,debt_consolidation,13825,16.01
75000,debt_consolidation,15000,14.07
70000,debt_consolidation,15000,20
45000,credit_card,5000,20
32000,debt_consolidation,10500,10.41
20000,credit_card,5000,6.72
168000,debt_consolidation,15000,6.07
77900,debt_consolidation,30000,19.42
38666,debt_consolidation,15000,18.06
40000,debt_consolidation,8400,7.97
38000,debt_consolidation,10000,14.08
49000,credit_card,8000,9.93
45000,debt_consolidation,18000,18.06
65000,debt_consolidation,25000,6.71
72000,debt_consolidation,5000,9.44
64000,debt_consolidation,14000,11.99
150000,debt_consolidation,40000,6.72
18500,debt_consolidation,10800,21.45
75999,credit_card,19200,7.34
51632,credit_card,3500,13.58
21600,debt_consolidation,10500,25.82
144000,credit_card,30000,6.72
48000,debt_consolidation,12000,10.9
44000,home_improvement,10000,11.99
51000,debt_consolidation,15000,9.93
47800,credit_card,8000,9.93
30000,credit_card,11250,10.41
37000,debt_consolidation,5000,6.07
62300,debt_consolidation,23000,18.06
50000,debt_consolidation,10000,9.44
46650,credit_card,10100,13.59
68200,debt_consolidation,10000,9.93
60000,debt_consolidation,9600,10.9
30000,credit_card,9000,13.59
50000,credit_card,5000,19.03
78900,debt_consolidation,14000,25.82
80000,credit_card,15000,9.93
140000,debt_consolidation,35000,10.42
36000,credit_card,12000,10.9
42000,debt_consolidation,5000,13.59
57600,credit_card,20000,15.05
160000,credit_card,35000,10.9
85000,debt_consolidation,14000,13.59
48000,debt_consolidation,25000,19.03
60000,debt_consolidation,35000,19.03
48300,debt_consolidation,10000,24.85
42000,debt_consolidation,12000,10.91
25000,home_improvement,5000,7.34
34000,home_improvement,9550,17.09
104000,debt_consolidation,28000,13.59
28000,home_improvement,15000,20
55000,debt_consolidation,5000,23.88
37000,debt_consolidation,12800,20
29000,debt_consolidation,12000,20
67000,debt_consolidation,30000,18.45
63373,home_improvement,30000,24.84
35000,home_improvement,10000,16.01
63000,debt_consolidation,18875,14.07
51000,debt_consolidation,15400,17.09
110000,debt_consolidation,20000,13.59
15000,debt_consolidation,7500,21.85
288000,home_improvement,17150,6.72
60000,credit_card,7500,21.45
54164,debt_consolidation,5000,11.99
62000,debt_consolidation,6000,24.84
20000,debt_consolidation,7500,15.05
95000,debt_consolidation,11000,16.01
37000,debt_consolidation,4000,14.08
45000,debt_consolidation,10000,17.09
50000,debt_consolidation,14000,19.03
52000,debt_consolidation,10000,9.92
70000,credit_card,16000,17.47
28500,debt_consolidation,12500,18.45
80000,debt_consolidation,20000,20.39
65000,debt_consolidation,13200,9.93
104000,home_improvement,28000,13.58
108000,credit_card,10000,14.08
82000,debt_consolidation,35000,12.61
67000,credit_card,18000,17.09
50731,debt_consolidation,14900,18.45
72000,credit_card,19500,16.02
108000,debt_consolidation,35000,15.05
65000,debt_consolidation,27000,11.98
31200,debt_consolidation,2200,17.09
58700,debt_consolidation,15000,13.58
52500,credit_card,13000,10.41
43000,home_improvement,23000,21.45
72000,debt_consolidation,24000,20.39
254000,credit_card,5900,18.06
65000,debt_consolidation,6300,14.07
64106,credit_card,25000,16.02
67000,home_improvement,11200,15.05
54000,debt_consolidation,12000,21.45
145000,debt_consolidation,19300,16.02
62000,credit_card,14400,18.06
75000,credit_card,4000,11.99
39579,credit_card,10000,10.42
47500,debt_consolidation,9800,9.44
33500,debt_consolidation,10000,9.44
32000,credit_card,10000,13.59
42000,debt_consolidation,14400,21.85
50000,credit_card,3500,10.42
38000,debt_consolidation,8000,11.99
105000,debt_consolidation,25000,30.79
70000,credit_card,13000,6.07
60000,credit_card,18000,24.85
45000,debt_consolidation,15000,10.91
40000,debt_consolidation,18000,17.09
102000,credit_card,25000,6.08
67000,credit_card,12000,11.99
75000,credit_card,4000,14.07
150000,debt_consolidation,34650,11.99
112798,debt_consolidation,30000,19.03
126700,debt_consolidation,35000,18.06
30000,debt_consolidation,10500,9.93
121000,debt_consolidation,10000,19.03
90000,debt_consolidation,8500,16.02
34000,credit_card,3500,16.02
18720,debt_consolidation,7000,13.59
80000,debt_consolidation,20000,21.45
40000,credit_card,5000,14.08
32000,debt_consolidation,15000,10.41
100000,debt_consolidation,20000,7.34
68000,debt_consolidation,20000,10.41
170000,credit_card,36000,10.42
56000,debt_consolidation,2500,19.42
57000,debt_consolidation,8500,9.93
130000,debt_consolidation,34000,15.05
167000,debt_consolidation,40000,13.59
73000,debt_consolidation,20000,16.02
48000,debt_consolidation,16800,18.06
72000,debt_consolidation,10000,11.98
60000,debt_consolidation,21000,17.09
104000,credit_card,30000,16.02
50000,debt_consolidation,18000,21.45
126200,debt_consolidation,22000,11.98
48000,credit_card,15000,25.82
86000,debt_consolidation,12000,19.42
90000,debt_consolidation,21000,16.01
50000,home_improvement,4800,15.05
100000,debt_consolidation,25000,16.02
110000,debt_consolidation,21000,6.07
82000,debt_consolidation,5000,19.42
87000,debt_consolidation,20000,13.58
70000,credit_card,28000,19.03
100000,debt_consolidation,35875,13.59
140000,debt_consolidation,35000,10.9
73460,credit_card,14000,11.99
60000,debt_consolidation,28000,12.61
35790,credit_card,12525,10.91
35000,debt_consolidation,5000,16.01
30000,credit_card,16500,19.42
63000,credit_card,14000,19.42
78000,debt_consolidation,35050,10.9
36000,debt_consolidation,12000,10.42
155000,debt_consolidation,10000,10.42
41640.62,debt_consolidation,21275,19.03
82000,credit_card,25000,24.85
58000,debt_consolidation,21000,16.02
70000,debt_consolidation,17650,20
58000,debt_consolidation,18125,20
50000,credit_card,6000,6.08
110000,debt_consolidation,7800,21.45
86000,debt_consolidation,10000,9.92
57564,credit_card,11500,18.45
83000,debt_consolidation,20000,19.42
150000,home_improvement,24000,21.85
65500,debt_consolidation,14400,13.59
98000,credit_card,29400,24.85
60000,debt_consolidation,11000,6.08
120000,credit_card,27000,16.01
36000,home_improvement,8000,9.44
60000,debt_consolidation,12000,15.05
129000,credit_card,11200,5.32
165000,credit_card,35000,21.45
40000,debt_consolidation,16000,15.05
120000,debt_consolidation,21000,7.97
92000,debt_consolidation,13500,10.41
25000,debt_consolidation,9000,10.41
150000,debt_consolidation,12175,10.91
64000,debt_consolidation,14000,17.09
160000,debt_consolidation,28500,24.84
56000,debt_consolidation,10000,19.03
70000,credit_card,10000,9.93
51921,credit_card,25000,12.61
60000,debt_consolidation,10000,19.03
107200,debt_consolidation,25000,20
40758,debt_consolidation,20000,23.87
130000,debt_consolidation,7000,13.59
70000,debt_consolidation,20000,15.04
50000,debt_consolidation,5600,10.9
110000,debt_consolidation,21000,9.92
60000,debt_consolidation,14000,5.32
40000,debt_consolidation,6400,11.99
45000,credit_card,10000,14.07
87000,credit_card,13000,5.31
45000,debt_consolidation,16200,10.42
100000,debt_consolidation,35000,19.42
97500,credit_card,17575,5.31
50000,credit_card,10000,16.02
40000,credit_card,11200,10.91
51072,debt_consolidation,12000,10.42
100000,debt_consolidation,27000,10.91
103500,debt_consolidation,8500,18.45
50000,debt_consolidation,8000,19.03
130000,credit_card,30000,16.02
15000,debt_consolidation,10000,19.03
45930,debt_consolidation,17300,11.99
50000,credit_card,19000,14.07
130000,home_improvement,18000,10.41
130000,debt_consolidation,25000,7.34
110000,debt_consolidation,12000,10.91
70000,credit_card,8000,13.59
33000,debt_consolidation,6000,25.82
59000,home_improvement,8500,9.44
104000,debt_consolidation,19000,15.04
31500,debt_consolidation,4800,16.02
44000,debt_consolidation,15000,13.59
134000,credit_card,18000,16.01
56450,credit_card,30000,24.85
113500,credit_card,16000,13.58
109000,debt_consolidation,15000,5.32
65000,debt_consolidation,8400,16.02
30000,debt_consolidation,16000,13.59
75000,debt_consolidation,25000,25.82
72000,credit_card,13000,9.44
44600,debt_consolidation,14500,16.02
55000,home_improvement,5000,6.72
80000,debt_consolidation,24000,10.42
40000,debt_consolidation,6000,10.91
40000,debt_consolidation,7000,19.03
35000,debt_consolidation,5000,11.98
50000,debt_consolidation,12000,11.98
50000,debt_consolidation,20000,20
84000,home_improvement,4500,9.44
73000,debt_consolidation,12800,26.77
48000,debt_consolidation,10000,10.91
57000,debt_consolidation,30000,19.42
45000,debt_consolidation,30000,26.77
50000,debt_consolidation,14400,9.93
44200,debt_consolidation,10000,7.34
79312,debt_consolidation,8000,14.08
80000,debt_consolidation,14000,15.05
31000,debt_consolidation,8000,20
103294,credit_card,15000,18.45
168000,debt_consolidation,15000,10.9
30000,debt_consolidation,8400,20
72000,credit_card,6000,11.99
98000,home_improvement,10200,9.44
50000,debt_consolidation,16000,9.93
93000,credit_card,24000,16.01
30000,credit_card,7000,9.93
30000,debt_consolidation,4500,17.09
120000,credit_card,8550,15.05
75000,debt_consolidation,25000,9.44
60000,debt_consolidation,20000,16.01
87500,credit_card,16000,19.42
61000,debt_consolidation,5000,21.45
75000,credit_card,3500,7.34
67760,debt_consolidation,5300,9.43
75000,debt_consolidation,28000,17.09
82000,credit_card,20000,13.58
70000,debt_consolidation,24000,9.92
56419.68,debt_consolidation,2500,15.04
75000,debt_consolidation,20000,9.43
53000,debt_consolidation,7500,17.09
173180,debt_consolidation,30000,20
85000,debt_consolidation,30000,21.45
60000,credit_card,16000,16.02
37000,debt_consolidation,10000,11.99
49200,credit_card,10000,20
26448,credit_card,10000,10.91
147000,debt_consolidation,22175,13.59
37000,debt_consolidation,20000,16.02
119000,debt_consolidation,30000,26.3
55000,debt_consolidation,12000,16.02
62500,credit_card,13800,24.85
70000,debt_consolidation,15000,11.98
62000,credit_card,10000,14.08
114000,credit_card,30000,10.9
75000,home_improvement,16000,13.58
40000,debt_consolidation,13000,13.59
32900,debt_consolidation,20000,15.05
78000,credit_card,34000,10.9
95000,debt_consolidation,25000,26.3
115000,debt_consolidation,34000,21.85
32000,debt_consolidation,7775,21.45
80000,debt_consolidation,20000,11.98
34771,debt_consolidation,7000,19.42
71000,debt_consolidation,10000,9.93
45000,debt_consolidation,10000,13.58
78000,credit_card,22600,30.17
80000,credit_card,25000,21.85
72000,credit_card,13175,9.92
88000,debt_consolidation,30000,26.77
40000,debt_consolidation,10000,10.91
65000,debt_consolidation,15000,7.97
83500,debt_consolidation,11200,7.97
78000,debt_consolidation,27000,17.09
103500,debt_consolidation,25000,10.41
22000,credit_card,6500,10.42
90000,debt_consolidation,30000,11.99
156000,debt_consolidation,30000,6.08
79040,debt_consolidation,33900,19.42
62000,debt_consolidation,2600,18.06
100000,credit_card,10000,13.58
98000,debt_consolidation,30000,25.81
176000,debt_consolidation,14500,6.71
38455,credit_card,5000,13.58
33000,debt_consolidation,11200,9.93
34733.5,debt_consolidation,12000,15.04
62000,debt_consolidation,30000,13.59
67000,debt_consolidation,25000,14.07
87000,debt_consolidation,24000,28.72
58000,credit_card,9800,6.08
58000,credit_card,12000,6.72
59000,home_improvement,5500,10.91
36000,debt_consolidation,10000,16.02
25000,debt_consolidation,8400,15.05
100000,home_improvement,10000,7.96
58756,credit_card,30000,19.42
86000,debt_consolidation,25000,25.81
54000,credit_card,9000,10.41
36000,debt_consolidation,20000,10.9
62000,credit_card,4000,6.08
85000,debt_consolidation,15000,6.08
26000,home_improvement,10000,14.08
44000,debt_consolidation,8000,21.85
41500,debt_consolidation,9000,6.08
71000,credit_card,20000,11.98
50000,credit_card,6000,11.98
28000,credit_card,16000,10.42
72000,credit_card,16000,13.58
75000,debt_consolidation,4000,10.41
55000,home_improvement,10000,14.08
84000,debt_consolidation,8000,21.45
30000,home_improvement,10000,26.3
130500,debt_consolidation,25000,18.06
55000,debt_consolidation,22000,23.87
50000,credit_card,23075,16.01
67000,credit_card,10000,10.42
100000,debt_consolidation,8000,7.96
55000,debt_consolidation,15600,6.08
85000,home_improvement,25000,9.93
139000,credit_card,10000,11.99
63000,debt_consolidation,5000,17.09
30000,credit_card,10000,9.93
50000,credit_card,15000,15.04
65000,debt_consolidation,4200,14.07
87000,debt_consolidation,27000,21.45
82000,debt_consolidation,25000,21.85
75000,debt_consolidation,20000,6.72
36000,debt_consolidation,6100,23.88
90000,debt_consolidation,7200,15.04
75000,debt_consolidation,18000,15.05
74000,debt_consolidation,15000,17.47
50000,debt_consolidation,15000,18.06
100000,debt_consolidation,10500,10.9
104660,debt_consolidation,35000,20
60000,debt_consolidation,34000,6.08
58000,credit_card,7400,13.59
106000,debt_consolidation,35000,17.47
40000,debt_consolidation,10000,18.06
74000,debt_consolidation,28000,13.59
107000,debt_consolidation,34200,10.9
80000,debt_consolidation,25000,16.01
48000,debt_consolidation,12000,10.41
50160,debt_consolidation,12000,11.98
80000,debt_consolidation,35000,21.45
68000,debt_consolidation,25000,10.9
60000,debt_consolidation,5000,10.91
38000,debt_consolidation,6000,16.02
110000,debt_consolidation,14425,10.9
38000,credit_card,13500,9.44
45000,credit_card,16000,10.91
50000,debt_consolidation,11800,16.02
36000,debt_consolidation,10000,15.05
105000,debt_consolidation,30000,17.47
116000,debt_consolidation,20000,7.35
50000,credit_card,13000,9.93
56000,home_improvement,3600,6.72
38700,debt_consolidation,14000,7.97
90000,credit_card,12000,10.41
36000,credit_card,10000,6.07
100000,debt_consolidation,20000,15.04
58000,debt_consolidation,7400,19.03
45000,credit_card,4000,6.08
115000,home_improvement,35000,10.9
84500,credit_card,23000,10.9
80000,credit_card,18000,21.85
50000,debt_consolidation,8800,10.41
37000,debt_consolidation,8000,10.42
35000,debt_consolidation,5000,15.05
70000,debt_consolidation,25000,11.99
35000,debt_consolidation,8000,5.32
130000,credit_card,12000,9.93
42000,debt_consolidation,14000,14.07
50000,debt_consolidation,20000,15.05
30000,credit_card,18000,6.08
41000,credit_card,27000,11.98
40000,credit_card,5000,13.59
65000,debt_consolidation,34000,21.45
68000,credit_card,18000,6.71
102000,home_improvement,25000,11.98
60000,debt_consolidation,7200,9.93
40000,debt_consolidation,20000,10.42
87125,debt_consolidation,17650,13.58
62000,debt_consolidation,34000,18.06
65000,credit_card,8000,7.96
84000,home_improvement,30000,17.09
53000,credit_card,10625,5.31
55000,credit_card,10000,9.43
42000,credit_card,9600,17.47
107000,debt_consolidation,35000,15.04
64000,debt_consolidation,2000,10.42
46000,debt_consolidation,10000,13.59
55000,debt_consolidation,10000,16.02
50000,debt_consolidation,10000,21.45
94000,debt_consolidation,8400,10.9
30000,credit_card,6000,9.93
70000,debt_consolidation,10000,10.41
50000,credit_card,15000,16.02
28000,credit_card,9000,7.97
30000,debt_consolidation,6000,16.01
105000,credit_card,21000,10.91
95000,debt_consolidation,20000,10.91
49000,debt_consolidation,20000,21.45
46000,debt_consolidation,9300,22.9
48000,debt_consolidation,19000,16.01
53000,debt_consolidation,12475,25.82
50000,debt_consolidation,17000,10.91
70000,home_improvement,10000,6.72
53200,credit_card,18500,7.34
71000,debt_consolidation,10500,7.96
85000,debt_consolidation,13000,13.58
102000,debt_consolidation,14000,10.9
250000,credit_card,40000,9.92
45000,debt_consolidation,10000,13.58
25000,debt_consolidation,20000,20.39
108000,debt_consolidation,35725,10.91
63000,debt_consolidation,14400,16.02
85410,debt_consolidation,7000,10.9
33000,debt_consolidation,10000,21.45
64000,credit_card,7000,15.04
75000,debt_consolidation,28000,28.72
56000,debt_consolidation,9000,9.43
106000,debt_consolidation,34000,13.59
50000,debt_consolidation,27000,15.04
37500,debt_consolidation,8000,15.04
70000,debt_consolidation,17000,18.06
42733,credit_card,25000,10.9
115000,debt_consolidation,12800,19.03
190000,debt_consolidation,7925,11.99
38000,debt_consolidation,8125,14.07
140000,debt_consolidation,15000,22.91
185000,debt_consolidation,35000,9.44
50000,credit_card,28000,13.59
82000,home_improvement,28000,15.05
116000,credit_card,14000,10.91
60000,credit_card,10000,13.58
38000,debt_consolidation,20000,28.72
75000,debt_consolidation,12000,9.92
78000,credit_card,18000,10.91
45000,debt_consolidation,12000,11.98
148000,debt_consolidation,25000,7.34
40000,debt_consolidation,12000,16.01
75000,debt_consolidation,10000,7.96
100000,credit_card,40000,15.04
67500,debt_consolidation,22875,18.45
48000,debt_consolidation,16000,6.07
37000,debt_consolidation,14500,6.07
31000,debt_consolidation,4000,5.32
90000,debt_consolidation,35000,25.81
49000,credit_card,13000,10.91
80000,debt_consolidation,28000,20.39
110000,credit_card,30000,26.77
161105,credit_card,15000,10.9
25000,debt_consolidation,10000,14.08
25000,debt_consolidation,4600,24.84
175000,debt_consolidation,40000,7.97
88000,debt_consolidation,30000,15.05
77177.88,debt_consolidation,21000,20.39
75000,debt_consolidation,20000,9.93
45000,debt_consolidation,15000,17.47
51000,debt_consolidation,22400,7.35
75894,debt_consolidation,28000,16.02
54000,debt_consolidation,19000,25.82
57000,debt_consolidation,25000,7.34
110000,debt_consolidation,27650,10.42
55000,credit_card,12000,7.34
47000,home_improvement,10200,10.41
74000,debt_consolidation,12000,10.42
46000,debt_consolidation,12000,6.72
60000,credit_card,7600,7.96
38000,debt_consolidation,14000,7.35
179443,debt_consolidation,36025,10.91
114000,credit_card,20000,14.07
140000,debt_consolidation,28000,10.9
40000,debt_consolidation,4800,18.45
48000,debt_consolidation,18750,30.79
47000,credit_card,2000,10.9
64000,credit_card,18000,11.98
133000,credit_card,25000,23.87
72000,debt_consolidation,8300,10.41
33600,credit_card,7500,14.08
120000,debt_consolidation,4000,11.99
52540,home_improvement,1600,16.02
44500,credit_card,3200,9.43
60000,debt_consolidation,11200,10.41
49000,debt_consolidation,11000,16.01
31200,debt_consolidation,7800,11.99
95000,debt_consolidation,15000,7.34
60000,debt_consolidation,20000,9.93
61000,credit_card,12000,13.59
70000,debt_consolidation,22050,19.42
125000,credit_card,40000,6.08
65000,debt_consolidation,10000,14.08
90000,debt_consolidation,4000,7.97
131000,debt_consolidation,20000,6.08
72000,debt_consolidation,20000,13.59
55944,debt_consolidation,8000,16.01
32000,credit_card,4500,6.08
64000,debt_consolidation,16000,13.59
33000,debt_consolidation,7200,21.45
64865,credit_card,12000,9.93
58000,debt_consolidation,6500,5.32
54000,debt_consolidation,6000,16.02
48000,debt_consolidation,6000,7.34
34000,credit_card,10000,7.97
120850,credit_card,12000,6.07
44000,debt_consolidation,4000,14.07
48000,home_improvement,12000,6.71
55000,debt_consolidation,15200,20
72000,debt_consolidation,34000,7.35
59500,debt_consolidation,12000,10.42
65000,debt_consolidation,24450,28.72
65000,debt_consolidation,20000,16.01
50840,debt_consolidation,28000,28.72
90000,debt_consolidation,12000,9.43
48000,credit_card,12000,10.41
115000,debt_consolidation,25000,30.79
78927,debt_consolidation,10500,6.72
42000,credit_card,15000,5.31
32000,debt_consolidation,8475,10.9
115000,debt_consolidation,40000,6.07
90000,debt_consolidation,24000,17.09
100000,debt_consolidation,28000,17.47
100000,debt_consolidation,35000,10.42
62000,credit_card,12000,10.42
55000,debt_consolidation,5000,6.08
86000,debt_consolidation,10500,10.91
200000,credit_card,28000,9.43
35000,debt_consolidation,10800,11.98
57820,credit_card,20000,19.42
60000,debt_consolidation,33600,15.04
55200,credit_card,19175,6.71
70000,credit_card,10000,6.72
97000,credit_card,9000,9.92
71000,debt_consolidation,25000,10.41
107000,credit_card,16300,25.82
170000,debt_consolidation,30000,28.72
35000,debt_consolidation,3200,10.9
98000,credit_card,29000,7.35
32000,credit_card,11200,17.47
55000,debt_consolidation,6000,18.45
49000,credit_card,19000,20.39
60000,debt_consolidation,11200,19.03
138000,debt_consolidation,28000,6.71
120000,debt_consolidation,30000,13.59
84000,debt_consolidation,30000,9.93
90000,home_improvement,15000,5.31
57000,debt_consolidation,28000,9.43
130000,credit_card,30000,13.59
76500,debt_consolidation,35000,20.39
103000,debt_consolidation,24000,21.45
57000,credit_card,15000,10.91
46000,credit_card,7000,7.34
62000,debt_consolidation,40000,14.07
60000,debt_consolidation,17600,9.93
86000,debt_consolidation,29600,9.93
70000,home_improvement,2400,10.91
139000,debt_consolidation,35000,15.04
50320,home_improvement,6000,11.98
37000,credit_card,20000,10.9
35000,credit_card,6000,9.93
103000,debt_consolidation,24000,14.07
45000,credit_card,6000,14.07
90000,debt_consolidation,15000,18.06
155000,debt_consolidation,20000,6.08
62000,debt_consolidation,4400,7.34
54500,debt_consolidation,24000,18.45
32500,debt_consolidation,5600,9.92
100000,debt_consolidation,17000,14.07
55000,debt_consolidation,15000,19.42
80000,credit_card,16000,10.42
70000,debt_consolidation,3500,6.71
103000,debt_consolidation,34000,10.42
110000,debt_consolidation,35000,10.91
58000,debt_consolidation,25000,16.02
45000,credit_card,11500,21.85
57506,debt_consolidation,13700,9.92
95000,home_improvement,35000,12.61
70000,debt_consolidation,15000,7.35
52000,credit_card,6975,13.59
95000,debt_consolidation,15000,18.45
129000,credit_card,5400,10.91
40400,debt_consolidation,10500,5.32
33000,credit_card,10000,11.98
60000,credit_card,30000,11.99
68000,credit_card,20000,9.92
69800,debt_consolidation,23175,11.99
97600,debt_consolidation,40000,14.08
85000,credit_card,30000,11.99
22000,home_improvement,5000,7.34
34000,debt_consolidation,20000,9.92
65000,debt_consolidation,10000,15.05
42000,credit_card,10000,7.96
85000,debt_consolidation,20000,7.35
50000,debt_consolidation,27000,21.85
72000,credit_card,30000,17.47
60000,home_improvement,18000,6.72
60000,debt_consolidation,10000,11.99
72000,credit_card,12000,9.93
26000,home_improvement,5000,15.04
51000,credit_card,15000,15.05
57000,home_improvement,5000,9.44
45782,debt_consolidation,20000,9.93
80000,debt_consolidation,20000,10.91
319000,debt_consolidation,27000,21.45
45360,debt_consolidation,13000,23.88
46280,credit_card,14000,14.07
82756.8,home_improvement,6000,11.99
64000,credit_card,6000,13.59
82500,debt_consolidation,24000,15.05
85000,debt_consolidation,17000,6.07
200000,debt_consolidation,35000,11.99
125000,home_improvement,23175,11.99
60000,home_improvement,25000,9.92
103000,debt_consolidation,27400,13.58
115800,debt_consolidation,21800,5.31
84000,debt_consolidation,40000,5.32
65000,debt_consolidation,14000,11.98
60000,credit_card,15000,18.06
37840,credit_card,10000,23.88
56000,debt_consolidation,15000,9.93
100000,debt_consolidation,25000,10.42
80000,debt_consolidation,21000,11.99
95000,debt_consolidation,20000,15.05
68000,debt_consolidation,23000,19.03
100000,credit_card,30000,6.07
140000,home_improvement,24000,15.04
90000,credit_card,8000,16.02
103000,debt_consolidation,30000,6.08
25000,debt_consolidation,9000,6.71
50000,credit_card,12000,10.42
34000,credit_card,13500,17.09
48028,debt_consolidation,20000,17.47
40000,credit_card,5000,22.91
51000,credit_card,10000,9.44
98000,debt_consolidation,34000,11.98
78000,debt_consolidation,12500,7.97
92000,debt_consolidation,15000,6.71
43500,debt_consolidation,19200,20
36000,debt_consolidation,23000,26.77
42000,debt_consolidation,8000,6.72
54200,credit_card,13500,7.97
24000,debt_consolidation,15000,16.02
42000,debt_consolidation,9000,6.72
90000,debt_consolidation,8500,9.43
